completions/train/mean_length,actor/train/kl,_step,rewards/train/score/mean
249.625,,0,0.8999999999999999
146.125,-0.0006316046346910298,1,0.8999999999999999
514.75,0.003949905280023813,2,-0.6125
176.25,0.0002872403129003942,3,1.13125
103.875,-8.260984031949192e-05,4,0.7625
113.125,0.0009123553172685206,5,-0.5000000000000001
471.375,0.003646789351478219,6,-0.4625000000000001
153.75,0.0012439280981197953,7,1.9
115.25,-0.0009535084245726466,8,0.7499999999999999
119.25,-0.006417789496481419,9,0.8999999999999999
176.0,0.0025676051154732704,10,6.0375000000000005
499.5,0.003412008285522461,11,-0.7375
236.875,0.0025324434973299503,12,2.6875
170.25,-0.0016546264523640275,13,0.2874999999999999
101.75,-0.008070309646427631,14,0.8999999999999999
283.25,-0.00485969940200448,15,0.3499999999999999
151.75,-0.0007360101444646716,16,0.4624999999999999
379.125,0.0017162651056423783,17,1.375
184.375,-0.0013228943571448326,18,0.43749999999999994
136.75,0.000765220494940877,19,0.2499999999999999
57.875,0.006336803548038006,20,-0.2750000000000001
159.75,-0.0020557385869324207,21,0.6874999999999999
406.5,-0.0014454881893470883,22,0.17499999999999993
303.5,-0.0005076544475741684,23,0.7124999999999999
126.125,-0.00031615246552973986,24,0.4999999999999999
233.375,0.0014183378079906106,25,0.8999999999999999
83.0,-0.00011107470345450565,26,-0.050000000000000086
185.375,-0.00087282172171399,27,0.5874999999999999
541.75,0.0015844820300117135,28,-0.9125
487.5,-0.001178576028905809,29,-0.8
193.5,0.001761981169693172,30,0.3999999999999999
329.0,0.006660566199570894,31,0.22499999999999998
442.0,0.001687080366536975,32,-0.675
295.25,-0.0006173180299811065,33,0.8500000000000001
371.625,0.0015867252368479967,34,-0.2875000000000001
469.125,0.0014377539046108723,35,-0.13750000000000007
207.875,-0.0013953548623248935,36,0.8999999999999999
126.0,-0.0004339808947406709,37,0.6249999999999999
445.5,0.0032043459359556437,38,1.48125
162.875,-0.0015968367224559188,39,0.4499999999999999
643.25,-0.003243905259296298,40,-0.32499999999999984
170.5,0.0006760709802620113,41,0.7749999999999999
225.375,0.00596274808049202,42,0.41249999999999987
711.625,0.0022404238115996122,43,0.1625000000000001
171.25,0.0017611713847145438,44,0.9249999999999999
252.25,0.0005388580029830337,45,-0.20000000000000007
198.125,0.0019400514429435134,46,0.8999999999999999
286.75,-0.0006474913097918034,47,0.3999999999999999
123.0,-0.0008469658787362278,48,0.8999999999999999
365.625,-0.001080819289200008,49,7.025
231.625,0.0011665644124150276,50,1.9625
348.0,-0.0030402878765016794,51,4.375
139.625,-0.00010611751349642873,52,1.8499999999999999
127.75,0.0004714464012067765,53,0.5374999999999999
172.625,0.0025024712085723877,54,9.01875
203.0,0.001011233194731176,55,0.09999999999999992
96.625,-0.0019737393595278263,56,0.6874999999999999
126.625,0.001520993304438889,57,3.6500000000000004
302.5,0.00882799830287695,58,4.4
341.25,-0.0019590810406953096,59,-0.13750000000000007
458.0,-0.00046333830687217414,60,1.1375
98.0,0.0017647749045863748,61,0.7499999999999999
144.125,-0.007505930960178375,62,0.7499999999999999
137.5,0.0002084965381072834,63,0.4749999999999999
113.125,0.006925542838871479,64,4.5
557.625,0.0443132147192955,65,1.6875000000000002
427.375,0.0016909956466406584,66,-0.13750000000000007
129.875,0.0013008035020902753,67,1.5124999999999997
166.25,0.00500496756285429,68,0.31249999999999994
206.25,0.0031728330068290234,69,0.7499999999999999
296.75,5.728288306272589e-05,70,5.3625
647.0,0.006647351197898388,71,-0.6499999999999999
89.625,0.004498875234276056,72,3.3875
351.375,0.028318261727690697,73,7.4
188.125,0.006016732193529606,74,0.9874999999999999
126.25,-0.010655524209141731,75,2.4625000000000004
342.125,0.04021016135811806,76,4.237500000000001
128.875,0.024144122377038002,77,10.8625
148.75,0.030596068128943443,78,9.0
96.75,0.02592478320002556,79,3.95
379.875,0.05070757865905762,80,4.7250000000000005
171.625,0.01925753802061081,81,0.7749999999999999
319.625,0.01283432450145483,82,2.4375
96.75,0.007520461454987526,83,5.48125
487.25,0.0330214723944664,84,0.375
123.375,0.0021293952595442533,85,1.075
108.25,0.010297190397977829,86,8.3
