completions/train/mean_length,_step,rewards/train/score/mean,actor/train/kl
225.6875,0,1.0,
130.9375,1,1.0,-0.0008316932362504303
361.9375,2,-0.5625,-0.007149985525757074
168.25,3,0.5,0.0002054920478258282
100.9375,4,0.75,0.0032680584117770195
99.4375,5,-1.1875,-0.0021523230243474245
473.75,6,-0.5,0.0014453051844611764
176.25,7,0.78125,0.0009200851200148463
118.25,8,0.375,0.00012332835467532277
115.0625,9,0.9375,-0.0028102099895477295
123.0,10,0.59375,-0.0009063045145012438
465.9375,11,-1.6875,-0.0014349620323628187
246.3125,12,-0.34375,-0.0005142377922311425
189.0,13,-0.3125,-0.00016530387802049518
93.1875,14,1.03125,-0.004114378709346056
253.125,15,0.15625,-0.001930794445797801
246.5625,16,-0.90625,-0.0011680193711072206
383.4375,17,0.6875,0.0021473269443958998
219.5,18,0.46875,0.00010419129102956504
155.9375,19,0.34375,0.002246000338345766
54.9375,20,0.21875,0.0009482030291110277
211.125,21,1.0,-0.0020751452539116144
371.1875,22,0.46875,0.00253490312024951
434.125,23,-0.34375,-0.00043250920134596527
141.4375,24,0.53125,-0.0008933042990975082
235.4375,25,1.0,0.017736084759235382
83.1875,26,-0.65625,-0.0005116944666951895
196.375,27,0.0,-0.00555443437770009
512.0,28,-1.125,-0.002474726177752018
589.875,29,-1.875,0.003313800785690546
278.3125,30,-0.0625,0.0008860905654728413
191.8125,31,-1.0,0.0013098915806040168
235.875,32,0.1875,0.0132595868781209
226.5,33,-0.6875,0.0018623772775754333
427.625,34,-0.71875,0.002911424031481147
505.9375,35,-0.5625,0.00023078557569533587
190.125,36,1.0,-0.0006534114363603294
119.0,37,0.625,-0.0011557542020455003
456.5,38,0.9375,0.011033122427761555
167.4375,39,1.6875,-0.0005152016528882086
579.75,40,-1.0,0.005178641993552446
166.375,41,0.40625,-0.0008550200727768242
203.625,42,0.03125,-0.001468593254685402
744.5,43,-2.125,0.0002255430881632492
262.125,44,-0.09375,0.0004235843080095947
184.5,45,-0.8125,0.0014826011611148715
216.6875,46,1.0,0.0030991851817816496
288.125,47,-0.125,-0.0016812356188893318
154.3125,48,5.5625,-0.0028318536933511496
478.75,49,0.53125,0.019235478714108467
250.4375,50,0.0,0.0034511873964220285
292.125,51,3.09375,-0.0002637058205436915
170.5625,52,1.625,0.001172359217889607
119.8125,53,0.5625,-0.00024177339219022542
156.375,54,4.515625,0.0032410311978310347
301.75,55,-0.6875,0.004008253570646048
92.3125,56,0.9375,0.0014615260297432542
137.5,57,4.40625,0.02904794178903103
280.3125,58,2.8125,-0.0008749389671720564
418.75,59,-0.96875,0.002329156966879964
290.0625,60,3.5,0.00017464594566263258
94.8125,61,5.25,0.000838805572129786
141.5,62,0.9375,0.013022540137171745
124.3125,63,5.59375,0.004249964375048876
113.8125,64,2.5,0.021126698702573776
413.9375,65,-0.46875,0.04839800298213959
328.5625,66,-0.40625,0.001266784267500043
148.5,67,1.40625,0.008491160348057747
157.3125,68,0.03125,0.017905069515109062
234.3125,69,0.46875,0.0002443967678118497
265.3125,70,3.46875,0.001556636649183929
635.25,71,-0.6875,0.007680671755224466
89.9375,72,2.53125,0.020310698077082634
263.8125,73,5.78125,0.03912854194641113
133.3125,74,8.015625,0.006023987662047148
143.5,75,4.125,0.020284177735447884
391.9375,76,2.375,0.14731675386428833
122.0,77,8.03125,0.02735198847949505
158.0625,78,7.9375,0.034876499325037
107.3125,79,3.625,0.029958494007587433
275.0625,80,3.40625,0.07405319809913635
229.875,81,0.90625,0.024146337062120438
478.6875,82,0.90625,0.009955964982509613
114.125,83,5.40625,0.006872153375297785
471.1875,84,0.34375,0.0659509003162384
107.625,85,4.65625,0.009157141670584679
101.875,86,4.0,0.030173735693097115
142.125,87,2.625,0.15172019600868225
154.75,88,7.75,0.02851203829050064
225.9375,89,4.921875,0.04695164039731026
160.1875,90,5.03125,0.011624581180512905
434.25,91,1.5,0.09614545851945877
158.6875,92,9.8125,0.026859376579523087
150.5,93,7.78125,0.04012451320886612
196.125,94,6.9375,0.05096769705414772
177.3125,95,8.25,0.02689061500132084
652.8125,96,0.03125,0.05415523797273636
368.0625,97,3.984375,0.010930432006716728
313.6875,98,4.9375,0.018097514286637306
159.5625,99,4.609375,0.014182459563016891
452.9375,100,2.0625,0.02403881587088108
157.0,101,5.75,0.01216132752597332
207.375,102,6.21875,0.05917319655418396
351.8125,103,2.59375,0.032448384910821915
137.25,104,8.6875,0.01562407799065113
150.75,105,4.59375,0.043573297560214996
143.125,106,5.53125,0.005392081569880247
265.8125,107,6.0,0.0460260771214962
210.375,108,6.78125,0.028788499534130096
276.0,109,6.25,0.03427079692482948
126.4375,110,6.21875,0.036798764020204544
192.25,111,5.25,0.036669980734586716
478.0,112,1.3125,0.03012515977025032
87.6875,113,9.109375,0.009037230163812637
196.8125,114,9.125,0.11315709352493286
159.9375,115,7.8125,0.03202129155397415
233.0,116,3.34375,0.02409057505428791
332.75,117,5.15625,0.01779894344508648
197.875,118,7.328125,0.004383752588182688
189.75,119,10.0,0.04608680307865143
128.875,120,9.625,0.0505819246172905
143.25,121,8.65625,0.060015421360731125
235.75,122,4.578125,0.050643064081668854
438.5625,123,3.140625,0.04625985398888588
328.9375,124,5.9375,0.021448461338877678
273.75,125,5.6875,0.018867306411266327
91.125,126,10.0,0.03714674338698387
246.1875,127,6.328125,0.11122778058052063
185.0625,128,8.625,0.032057035714387894
200.8125,129,4.84375,0.03683020547032356
324.6875,130,2.828125,0.04965142533183098
371.625,131,3.921875,0.00577809801325202
170.8125,132,5.125,0.027674956247210503
371.5,133,3.953125,0.08301626890897751
218.0625,134,7.25,0.019110949710011482
362.3125,135,3.296875,0.05410701408982277
176.4375,136,4.25,0.04967964068055153
309.0625,137,7.71875,0.06567315757274628
199.125,138,4.875,0.04156525805592537
320.0,139,5.9375,0.04467419162392616
148.3125,140,9.46875,0.015569254755973816
312.125,141,5.8125,0.03783535584807396
306.5625,142,3.171875,0.03392452001571655
147.125,143,4.53125,0.020248347893357277
121.625,144,10.0,0.08136191219091415
136.25,145,8.5,0.04017021134495735
164.8125,146,10.0,0.05375298857688904
303.75,147,6.375,0.056714899837970734
447.125,148,2.15625,0.026855632662773132
178.0625,149,7.9375,0.009420556016266346
144.875,150,4.3125,0.05250116437673569
356.3125,151,6.8125,0.06045311316847801
125.3125,152,6.21875,0.02243465930223465
240.125,153,9.1875,0.0814049169421196
324.25,154,4.6875,0.0886010155081749
236.6875,155,4.703125,0.04030384495854378
183.3125,156,9.34375,0.03881145641207695
527.3125,157,3.0625,0.047758497297763824
206.8125,158,9.3125,0.030075957998633385
123.8125,159,9.65625,0.04306809604167938
186.9375,160,5.0,0.12649144232273102
211.8125,161,8.96875,0.07381878793239594
546.875,162,1.5,0.04481375962495804
151.6875,163,7.53125,0.035419363528490067
291.3125,164,3.96875,0.0860317125916481
204.625,165,8.46875,0.027076955884695053
183.1875,166,6.03125,0.05169941857457161
192.625,167,6.5625,0.0594196543097496
145.125,168,10.0,0.06342635303735733
145.0625,169,9.5625,0.05156874284148216
314.75,170,9.125,0.0596487931907177
165.875,171,5.1875,0.046383876353502274
105.875,172,10.0,0.06278209388256073
174.875,173,6.21875,0.14846737682819366
244.4375,174,4.734375,0.06801862269639969
119.9375,175,4.84375,0.05071929842233658
234.6875,176,9.5,0.08996447920799255
289.4375,177,5.25,0.06157974153757095
480.3125,178,4.09375,0.030218709260225296
138.875,179,10.0,0.027882607653737068
172.25,180,8.78125,0.06633177399635315
278.625,181,9.0,0.11779206991195679
287.5,182,5.328125,0.046911902725696564
114.625,183,10.0,0.03955235704779625
394.6875,184,2.9375,0.13119769096374512
