completions/train/mean_length,rewards/train/score/mean,actor/train/kl,_step
,,,0
147.0,13.0,,500
125.0,13.0,0.1448606699705124,501
264.0,0.25,0.0896831676363945,502
314.75,8.1125,0.09381619095802307,503
181.25,6.5,0.10497516393661499,504
183.75,9.75,0.1086936965584755,505
395.625,6.475,0.08984161168336868,506
202.75,0.0,0.07617286592721939,507
101.75,13.0,0.12924662232398987,508
184.625,7.0,0.17294719815254211,509
168.125,8.125,0.13236390054225922,510
115.375,13.0,0.13590013980865479,511
185.25,1.625,0.15896618366241455,512
208.25,9.75,0.13262510299682617,513
287.75,9.7375,0.12652871012687683,514
133.375,13.0,0.06838474422693253,515
166.5,0.0,0.17653940618038177,516
408.0,-0.0125,0.17341262102127075,517
217.75,11.375,0.06770998984575272,518
187.25,3.375,0.08488015830516815,519
200.75,1.625,0.08091052621603012,520
194.625,9.75,0.12885616719722748,521
144.875,13.0,0.11122234165668488,522
224.625,13.0,0.12711073458194733,523
176.125,13.0,0.12311310321092606,524
167.625,1.625,0.05935724079608917,525
161.5,11.53125,0.15247543156147003,526
134.625,11.375,0.10668820887804031,527
501.5,6.4875,0.12844690680503845,528
180.375,11.375,0.04723667725920677,529
251.375,1.0,0.11577239632606506,530
195.875,8.125,0.13784824311733246,531
214.375,8.125,0.12838712334632874,532
328.375,5.175,0.12283104658126831,533
213.625,9.75,0.09712112694978714,534
178.5,13.0,0.13672861456871033,535
533.5,-0.037500000000000006,0.23806042969226837,536
135.125,13.0,0.09010424464941025,537
434.0,0.35,0.26092028617858887,538
410.75,0.11875,0.0740596204996109,539
312.875,9.75,0.08163457363843918,540
165.5,9.75,0.10400416702032089,541
226.25,1.6125,0.18569813668727875,542
279.75,8.1875,0.0699276402592659,543
169.125,1.625,0.11110888421535492,544
195.125,1.40625,0.1881750226020813,545
301.875,0.14375,0.1006505936384201,546
309.0,-0.0125,0.1533641666173935,547
217.375,11.375,0.07954667508602142,548
222.25,11.6625,0.1423831582069397,549
532.25,0.22499999999999998,0.11790786683559418,550
121.375,1.625,0.08206504583358765,551
212.125,13.0,0.25111618638038635,552
238.375,0.0,0.22277379035949707,553
117.125,13.0,0.14120930433273315,554
129.5,13.0,0.21868285536766052,555
260.5,2.08125,0.06379672139883041,556
177.0,5.675,0.15628871321678162,557
125.0,13.0,0.20784921944141388,558
213.0,9.975,0.20604754984378815,559
123.75,13.0,0.18311911821365356,560
141.125,6.125,0.1931537389755249,561
124.0,4.875,0.15497393906116486,562
425.875,8.0875,0.1634458601474762,563
231.875,13.0,0.06526568531990051,564
339.625,3.7750000000000004,0.1647966504096985,565
131.875,13.0,0.07967568188905716,566
158.125,1.25,0.11415401846170425,567
276.125,11.3625,0.19832319021224976,568
236.75,9.75,0.0630042776465416,569
117.25,13.0,0.130762979388237,570
211.375,10.25,0.1484498828649521,571
219.125,3.25,0.1515347808599472,572
114.125,13.0,0.14343851804733276,573
110.625,13.0,0.15623116493225098,574
118.5,13.0,0.18279330432415009,575
127.0,13.0,0.18879199028015137,576
418.75,1.875,0.15938307344913483,577
230.75,0.0,0.04803964123129845,578
197.125,0.0,0.12471632659435272,579
145.0,4.875,0.0993652194738388,580
127.5,11.625,0.12938646972179413,581
236.125,1.625,0.22914573550224304,582
212.75,11.375,0.05627861246466637,583
298.125,1.6125,0.08386068046092987,584
94.875,13.0,0.11287698894739151,585
222.625,1.6125,0.14200261235237122,586
295.0,13.0,0.08960060775279999,587
141.375,10.0625,0.07153096050024033,588
155.875,13.0,0.10424194484949112,589
161.125,11.375,0.10202580690383911,590
169.0,8.375,0.147053062915802,591
138.25,8.125,0.21067310869693756,592
138.5,13.0,0.15014120936393738,593
205.375,1.78125,0.19794565439224243,594
231.0,3.25,0.08900705724954605,595
121.125,4.875,0.15563584864139557,596
186.0,13.0,0.1973259299993515,597
211.25,13.0,0.11134897917509079,598
206.5,13.0,0.1258503496646881,599
90.625,0.0,0.11475178599357605,600
356.625,5.03125,0.46405890583992004,601
113.625,6.125,0.07448921352624893,602
248.0,11.375,0.17608705163002014,603
248.125,13.0,0.06920114904642105,604
137.5,0.0,0.07412213087081909,605
146.75,13.0,0.18940410017967224,606
126.75,0.0,0.10737284272909164,607
181.0,13.0,0.12882375717163086,608
156.75,0.0,0.08059107512235641,609
160.875,9.75,0.11311995983123779,610
220.375,11.375,0.1306632161140442,611
243.875,1.78125,0.12672603130340576,612
203.375,4.875,0.11607493460178375,613
282.375,8.4125,0.12553894519805908,614
123.5,8.125,0.11611298471689224,615
308.5,-0.025,0.11678794026374817,616
80.875,3.25,0.09331212937831879,617
211.375,6.5,0.24856281280517578,618
117.625,2.25,0.1295195370912552,619
187.25,13.0,0.18450911343097687,620
560.125,0.4875,0.13709500432014465,621
233.0,5.53125,0.045253343880176544,622
209.375,13.0,0.10752357542514801,623
96.0,13.0,0.07752537727355957,624
175.125,13.0,0.1395009160041809,625
168.75,2.125,0.12327468395233154,626
313.875,1.65,0.21487471461296082,627
179.125,1.78125,0.10113946348428726,628
192.625,13.0,0.17042909562587738,629
450.75,-0.025,0.061149418354034424,630
189.375,4.875,0.060304753482341766,631
556.125,-0.012499999999999997,0.10602673888206482,632
314.75,9.75,0.07011455297470093,633
238.625,1.625,0.055539097636938095,634
191.5,13.0,0.07370730489492416,635
224.5,4.8625,0.10913646966218948,636
285.25,11.375,0.1250486820936203,637
232.5,0.0,0.10081744194030762,638
207.0,0.0,0.07972375303506851,639
182.375,6.90625,0.13813666999340057,640
137.0,9.90625,0.1596604585647583,641
94.125,7.25,0.17262308299541473,642
190.25,-0.0125,0.23131020367145538,643
230.125,13.0,0.13228681683540344,644
241.125,1.625,0.08550338447093964,645
255.75,8.28125,0.0789700374007225,646
149.0,9.75,0.09290457516908646,647
