_step,completions/train/mean_length,actor/train/kl,rewards/train/score/mean
0,252.5,,1.0
1,140.0,-0.0015303659019991755,1.0
2,441.5,0.011311893351376057,1.0
3,164.0,3.678828215925023e-05,0.5
4,88.0,-0.0018399925902485847,0.25
5,126.5,-0.009672664105892181,-0.5
6,453.0,-0.0033521917648613453,-0.75
7,152.0,0.0019125485559925437,1.0
8,77.5,-0.002778630470857024,0.25
9,106.0,-0.012205850332975388,1.0
10,159.5,0.000624890613835305,0.25
11,460.5,0.00014106009621173143,-1.5
12,244.0,0.0011255469871684909,0.25
13,188.5,-0.008264370262622833,0.5
14,72.5,0.001881849835626781,-0.25
15,419.0,0.0001375132706016302,-0.75
16,150.5,0.0005038359668105841,0.25
17,380.5,0.0037597392220050097,1.0
18,163.5,-0.0027484267484396696,-0.5
19,125.5,-0.002708983374759555,-0.5
20,82.5,-0.015208165161311626,-0.75
21,162.0,-0.026188742369413376,1.0
22,287.0,-0.008271823637187481,-0.75
23,251.0,-0.0019913518335670233,1.0
24,135.5,0.000513665727339685,4.25
25,226.5,-0.02640591189265251,1.0
26,86.5,0.0007735540857538581,-0.5
27,220.0,-0.005946341436356306,0.25
28,463.0,0.003509586676955223,-0.75
29,768.0,-0.0005085226148366928,-2.0
30,215.0,0.001762253581546247,-0.5
31,402.5,0.002201058203354478,-1.0
32,258.0,-0.002283596433699131,1.0
33,127.0,-0.005020089913159609,-0.5
34,490.0,-0.00565331382676959,-1.5
35,216.5,-0.001950390636920929,-0.5
36,205.5,0.018706675618886948,1.0
37,110.5,-0.002243171911686659,0.25
38,280.0,0.01251407153904438,1.5
39,157.0,0.005411162041127682,0.25
40,768.0,-0.001149821444414556,-1.5
41,93.0,0.0037337765097618103,-0.5
42,198.0,0.002942146733403206,-0.5
43,768.0,-0.0010911142453551292,-1.5
44,137.5,-0.0024873826187103987,0.25
45,92.0,-0.004661851562559605,-0.5
46,204.0,0.0017595291137695312,1.0
47,456.5,0.004839672707021236,-1.5
48,125.0,0.0024012622889131308,1.0
49,551.5,0.00432237284258008,1.0
50,194.5,-0.0014015069464221597,0.25
51,359.5,0.004335614386945963,-1.5
52,182.0,-0.0009659354691393673,1.0
53,120.5,-0.0010369165102019906,0.5
54,179.0,0.000738500093575567,3.5
55,154.0,-0.0005091768689453602,-0.5
56,93.0,0.0019183408003300428,-0.25
57,108.0,-0.0024704677052795887,5.0
58,249.0,0.000816062674857676,1.5
59,131.0,0.005699547939002514,-0.5
60,538.0,0.0032906278502196074,-0.75
61,105.5,0.001208237954415381,-0.25
62,151.0,0.005379030480980873,1.0
63,103.0,0.0015390029875561595,1.0
64,191.0,0.016001414507627487,1.0
65,268.5,0.008081816136837006,1.0
66,424.0,0.00033454966614954174,-1.5
67,126.0,0.0017759170150384307,0.25
68,163.5,-0.0034051775000989437,0.25
