completions/train/mean_length,rewards/train/score/mean,_step,actor/train/kl
249.625,1.0,0,
146.125,1.0,1,-0.0006316046346910298
514.75,-0.9375,2,0.003949905280023813
176.125,1.375,3,0.0002872403129003942
90.5,1.125,4,0.0008724908693693578
100.5,-1.5,5,0.002782279159873724
458.25,-0.8125,6,0.004144353326410055
202.625,1.75,7,-0.00028643006226047873
104.0,0.1875,8,0.0014167753979563713
118.875,1.0,9,0.0032614790834486485
144.125,0.8125,10,0.00039568557986058295
485.875,-1.625,11,0.0033235177397727966
208.0,0.0,12,-0.0013597751967608929
231.875,0.25,13,-8.183030149666592e-05
101.375,1.0,14,0.0004145753337070346
269.0,-0.25,15,-0.01145667489618063
154.75,-0.5,16,0.0008320427150465548
378.25,0.5625,17,-0.0001835615112213418
157.875,-0.0625,18,0.002010934753343463
165.125,0.25,19,0.001185200409963727
56.25,0.125,20,0.001689012860879302
208.75,1.0,21,-0.00430282624438405
351.125,1.0,22,-0.003146936884149909
367.875,0.25,23,-0.0004047680413350463
128.875,0.0625,24,0.00044455158058553934
233.125,1.0,25,-0.008910119533538818
82.625,-0.875,26,0.0009286118438467383
234.0,0.75,27,-0.0014924065908417106
543.125,-1.5,28,-0.0011653931578621268
567.25,-1.75,29,0.0008497459930367768
314.625,-0.5625,30,-0.00018203580111730844
392.5,-0.625,31,0.0010652038035914302
497.75,-0.9375,32,-0.0009001665166579187
250.25,-0.625,33,0.0002732897119130939
276.875,-0.25,34,0.0024902350269258022
345.125,-1.0,35,-6.52562957839109e-05
192.875,1.6875,36,-0.0017582438886165619
113.625,-0.1875,37,-0.0020048916339874268
450.125,0.90625,38,-0.006708264816552401
160.375,1.125,39,-0.00010932428267551586
701.5,-1.875,40,0.003619340481236577
182.625,0.8125,41,-0.000491094368044287
227.375,-0.375,42,-0.004129050765186548
718.5,-0.8125,43,0.001313192187808454
137.875,0.1875,44,-0.0005698974127881229
93.125,-0.5,45,0.0021740177180618048
239.125,1.0,46,0.007395531050860882
307.125,-0.75,47,0.0003345666918903589
142.75,5.0,48,0.0011864097323268652
312.125,2.875,49,0.018057098612189293
171.75,-0.125,50,-0.002620707033202052
408.375,0.6875,51,0.00038734308327548206
156.75,1.4375,52,-0.0005032399785704911
126.375,0.75,53,0.003825352294370532
167.125,4.0625,54,0.0013865726068615913
239.125,-0.75,55,0.0024513197131454945
95.125,1.0,56,-0.0011715985601767898
123.625,6.5,57,0.024266954511404037
327.25,1.9375,58,0.007195089943706989
353.625,-0.8125,59,0.000929575297050178
372.125,1.0,60,-0.001740100677125156
100.5,0.875,61,0.0018705689581111073
145.625,1.0,62,-0.0012338648084551096
149.375,0.8125,63,0.0028514289297163486
152.75,0.9375,64,0.004075166303664446
557.5,-1.1875,65,0.038319721817970276
452.5,-0.875,66,0.0002478992973919958
140.0,0.5,67,0.0051477085798978806
166.625,0.4375,68,0.007351538632065058
285.625,0.125,69,-0.0009489767835475504
343.0,2.125,70,-0.0009676309418864548
525.5,-0.875,71,0.0020406662952154875
86.25,0.5,72,0.00412163557484746
232.75,4.75,73,0.0018042081501334906
141.25,6.34375,74,0.004279736895114183
106.625,-1.0,75,0.003184134606271982
575.75,0.125,76,0.006177224684506655
128.375,7.0,77,0.002074226038530469
152.75,4.375,78,0.018335966393351555
95.625,1.5625,79,0.020662644878029823
242.25,3.1875,80,0.042534239590168
205.75,0.8125,81,0.027705974876880646
402.0,-0.625,82,0.002524803625419736
80.0,2.75,83,0.003681707428768277
356.25,1.875,84,0.031168857589364052
108.5,5.125,85,0.012701394967734814
81.125,-0.125,86,0.024282876402139664
146.625,1.4375,87,0.12513324618339539
163.5,9.3125,88,0.001998387509956956
215.75,4.4375,89,0.0329803042113781
177.25,1.625,90,0.012731914408504963
402.25,0.5625,91,0.05116961896419525
161.125,10.0,92,0.0061709522269666195
133.375,5.53125,93,0.0361383892595768
188.125,7.75,94,0.056380823254585266
177.5,8.25,95,0.023898055776953697
643.5,-0.625,96,0.048493314534425735
235.75,4.65625,97,0.004489861894398928
467.0,3.625,98,0.02471318282186985
165.5,5.125,99,0.007620027754455805
277.625,4.4375,100,0.02275397628545761
191.125,5.375,101,0.021570805460214615
191.875,6.25,102,0.04982481896877289
248.125,3.3125,103,0.03353382274508476
135.875,8.5625,104,0.023651499301195145
160.0,4.59375,105,0.04395362362265587
145.25,5.625,106,0.006460871081799269
195.0,5.375,107,0.05024619773030281
199.0,6.5625,108,0.03730122372508049
350.125,4.0625,109,0.03707118704915047
117.375,6.40625,110,0.03013710305094719
192.25,4.75,111,0.04275743290781975
542.625,0.4375,112,0.03388962149620056
85.25,7.8125,113,0.006347856018692255
198.5,8.0,114,0.11850297451019287
152.25,4.9375,115,0.02203953266143799
295.25,2.375,116,0.016849206760525703
394.125,2.75,117,0.014537862502038479
191.875,4.15625,118,0.006570180878043175
161.625,9.25,119,0.04308420792222023
117.0,9.0,120,0.053348276764154434
140.0,8.375,121,0.060343336313962936
180.75,2.6875,122,0.051187094300985336
241.375,3.53125,123,0.0506291538476944
332.25,4.6875,124,0.02998322620987892
359.875,5.125,125,0.01218183059245348
94.75,9.75,126,0.02366032637655735
218.5,4.46875,127,0.09326779097318649
168.125,8.625,128,0.039887357503175735
339.875,3.5625,129,0.024497520178556442
237.5,3.65625,130,0.02545088157057762
405.625,2.9375,131,0.003087691031396389
133.375,3.8125,132,0.023355990648269653
251.5,4.625,133,0.07732655107975006
190.625,6.0625,134,0.017909491434693336
299.875,4.15625,135,0.04649800434708595
170.125,2.8125,136,0.055881645530462265
283.625,3.125,137,0.08067503571510315
217.0,4.28125,138,0.008678913116455078
194.5,7.9375,139,0.03326111286878586
205.25,8.6875,140,0.032311201095581055
328.875,2.25,141,0.023732712492346764
192.125,4.65625,142,0.018280258402228355
164.25,5.5,143,0.04656398668885231
117.5,9.125,144,0.06421441584825516
105.625,8.625,145,0.02744966372847557
132.375,10.0,146,0.052212685346603394
241.375,4.84375,147,0.04367686063051224
344.625,3.9375,148,0.03431599959731102
162.375,8.625,149,0.01924358308315277
119.625,4.5,150,0.04118093475699425
215.125,8.5625,151,0.0508829727768898
128.625,7.25,152,0.026175882667303085
243.125,9.0,153,0.07527533173561096
355.25,2.75,154,0.1015511006116867
183.75,4.84375,155,0.02906680293381214
130.75,10.0,156,0.05114544928073883
572.125,1.75,157,0.06418637931346893
224.375,8.5,158,0.024476513266563416
123.75,10.0,159,0.051031213253736496
129.0,4.125,160,0.11715928465127945
173.625,6.1875,161,0.09869900345802307
