completions/train/mean_length,actor/train/kl,rewards/train/score/mean,_step
478.5,0.011840438470244408,-0.75,100
134.625,-0.0017739771865308285,4.875,101
214.125,0.06707073748111725,1.0,102
229.75,0.0006584416842088103,-0.3125,103
120.0,0.006115422584116459,3.25,104
168.25,0.005761546082794666,1.46875,105
166.0,0.010721391066908836,3.3125,106
266.25,0.00835853349417448,0.9375,107
198.625,-0.0015170746482908726,0.8125,108
235.5,-0.0006738174124620855,-0.25,109
143.625,-0.001064026146195829,6.03125,110
182.25,0.029054660350084305,5.25,111
464.5,0.017753923311829567,0.625,112
86.0,0.004984995350241661,0.75,113
194.375,0.01031632162630558,6.1875,114
150.0,0.025821195915341377,7.125,115
355.125,0.015822045505046844,3.0,116
351.25,0.011744385585188866,2.5,117
166.0,0.011951099149882793,4.1875,118
174.0,0.04549587145447731,6.0625,119
132.375,0.020250316709280014,9.125,120
138.0,0.05431383103132248,9.125,121
261.625,0.04659891128540039,0.0,122
486.875,0.0068580592051148415,3.53125,123
312.25,0.014792535454034805,4.125,124
289.625,0.013659241609275341,4.8125,125
97.5,0.03469971939921379,10.0,126
207.0,0.08645767718553543,8.09375,127
157.625,0.04176001623272896,8.625,128
175.625,0.03571109473705292,3.625,129
205.875,0.05042285844683647,3.0,130
444.125,0.015584249049425125,-0.5,131
213.5,0.004670776426792145,4.8125,132
335.0,0.04836044833064079,3.59375,133
158.125,0.018749840557575226,6.5625,134
450.5,0.06632078438997269,1.1875,135
200.5,0.013559432700276375,3.0,136
227.625,0.03614691272377968,5.4375,137
140.375,0.05436314642429352,5.0,138
173.375,0.053703077137470245,6.5625,139
129.0,0.02987903729081154,9.3125,140
378.375,0.032533738762140274,3.0,141
170.0,0.016373706981539726,5.5625,142
157.125,0.0929642766714096,5.375,143
114.875,0.07470189034938812,9.125,144
105.5,0.03675145283341408,10.0,145
129.125,0.04322127625346184,10.0,146
246.875,0.050821177661418915,5.375,147
456.375,0.033617470413446426,3.8125,148
182.75,0.017720401287078857,7.5625,149
104.5,0.049399346113204956,4.5,150
199.0,0.061912018805742264,8.25,151
126.25,0.04921993985772133,6.5625,152
196.625,0.07796730101108551,9.3125,153
344.75,0.06721252202987671,4.25,154
225.75,0.02638833597302437,4.4375,155
157.625,0.04430534690618515,10.0,156
444.0,0.05846700072288513,2.8125,157
210.0,0.03503856807947159,9.3125,158
118.0,0.04839729145169258,10.0,159
128.625,0.11112336069345474,4.5,160
166.125,0.07967066764831543,6.5625,161
244.625,0.052486106753349304,3.875,162
145.625,0.06694069504737854,4.0,163
179.625,0.062225792557001114,5.1875,164
160.625,0.027265479788184166,10.0,165
151.75,0.04128214344382286,5.25,166
212.0,0.058132924139499664,8.0625,167
195.0,0.05359109863638878,8.25,168
155.5,0.04427371919155121,10.0,169
226.5,0.04158880189061165,7.5625,170
141.375,0.040815431624650955,5.1875,171
86.5,0.03849830478429794,10.0,172
174.125,0.17096084356307983,6.5625,173
208.875,0.06096987426280975,4.65625,174
122.25,0.046093329787254333,4.5,175
390.375,0.08278000354766846,5.5625,176
227.5,0.02322663739323616,5.125,177
355.375,0.023524412885308266,4.28125,178
118.0,0.026734987273812294,10.0,179
180.0,0.0747099220752716,9.3125,180
103.125,0.10361350327730179,5.25,181
333.75,0.11993575096130371,0.1875,182
110.75,0.006399554666131735,10.0,183
233.75,0.08887504041194916,-1.0,184
196.5,0.010481100529432297,8.1875,185
210.125,0.012936098501086235,10.0,186
265.25,0.10779914259910583,4.6875,187
412.625,0.07705052942037582,3.0625,188
319.125,0.035156652331352234,3.71875,189
218.5,0.05120982602238655,4.5,190
102.5,0.047204744070768356,3.1875,191
631.125,0.0669679343700409,2.125,192
131.875,0.011208861134946346,9.0,193
146.75,0.013519588857889175,6.5,194
148.25,0.06465932726860046,3.0,195
135.875,0.028646690770983696,1.9375,196
188.625,0.04987502470612526,9.46875,197
158.875,0.08859532326459885,7.0625,198
108.5,0.04338134452700615,1.71875,199
381.625,0.0234826747328043,2.25,200
70.375,0.01625371351838112,9.3125,201
259.0,0.12744222581386566,3.375,202
158.75,0.03173992410302162,8.625,203
209.0,0.06067981943488121,10.0,204
259.125,0.04465842247009277,7.9375,205
549.625,0.06601469963788986,2.4375,206
115.25,0.019974268972873688,5.1875,207
143.125,0.04410358518362045,10.0,208
194.0,0.05648491904139519,5.875,209
125.0,0.08525855839252472,9.3125,210
239.5,0.06504736095666885,8.25,211
175.25,0.013873342424631119,8.4375,212
169.125,0.02812384068965912,10.0,213
144.875,0.03383112698793411,10.0,214
186.0,0.1026730164885521,8.0,215
217.875,0.03755494952201843,7.4375,216
705.625,0.034016914665699005,0.3125,217
166.375,0.008725938387215137,10.0,218
132.0,0.0404498390853405,8.4375,219
186.5,0.12463672459125519,7.25,220
345.25,0.09066113829612732,6.25,221
249.25,0.040204424411058426,7.71875,222
169.75,0.04721476137638092,10.0,223
301.125,0.06877398490905762,4.5625,224
401.0,0.03622833639383316,3.5625,225
174.125,0.058843668550252914,8.25,226
442.5,0.06561979651451111,3.625,227
197.375,0.026399288326501846,10.0,228
189.25,0.052741602063179016,10.0,229
385.5,0.06257499754428864,4.5625,230
103.5,0.022592153400182724,10.0,231
225.125,0.13351520895957947,3.875,232
737.625,0.05219826474785805,-0.375,233
476.125,0.006875999271869659,2.6875,234
466.625,0.016625862568616867,3.75,235
185.75,0.038592077791690826,9.46875,236
135.125,0.08486513048410416,5.0,237
213.0,0.06696171313524246,10.0,238
160.25,0.056413713842630386,10.0,239
132.375,0.05612488463521004,10.0,240
449.25,0.12926849722862244,3.9375,241
382.125,0.020774468779563904,4.0,242
153.125,0.022883499041199684,6.5625,243
224.5,0.05461413413286209,9.125,244
264.375,0.042139701545238495,10.0,245
224.375,0.02657710388302803,10.0,246
661.375,0.024865657091140747,1.125,247
223.0,0.006442675366997719,7.25,248
217.5,0.05008244514465332,5.5,249
173.25,0.049245815724134445,7.9375,250
590.25,0.06295318156480789,2.1875,251
484.0,0.018878968432545662,1.875,252
133.125,0.030466144904494286,10.0,253
117.25,0.06470619142055511,9.3125,254
411.125,0.23280079662799835,2.625,255
365.25,0.027353543788194656,4.03125,256
336.5,0.027909355238080025,6.8125,257
299.25,0.07704733312129974,3.625,258
336.75,0.07756250351667404,2.90625,259
173.625,0.017938166856765747,4.4375,260
240.5,0.09540918469429016,10.0,261
113.375,0.06155160441994667,5.875,262
291.125,0.12914752960205078,10.0,263
132.875,0.08491989970207214,10.0,264
196.625,0.09325581043958664,4.5,265
419.125,0.11856777966022491,4.6875,266
692.0,0.0677005723118782,0.375,267
226.25,0.017463169991970062,9.34375,268
163.875,0.10570858418941498,5.375,269
253.625,0.07883673906326294,5.5,270
169.875,0.0944458469748497,6.375,271
135.0,0.1310727894306183,7.25,272
443.625,0.12188883870840073,4.125,273
113.75,0.01792449876666069,10.0,274
567.875,0.09615015983581543,1.65625,275
329.25,0.02521369233727455,10.0,276
457.375,0.0377812460064888,3.1875,277
467.125,0.037050481885671616,7.3125,278
346.0,0.0181092731654644,4.5,279
142.5,0.043464627116918564,9.3125,280
95.5,0.13052360713481903,3.625,281
203.125,0.18544937670230865,5.5625,282
145.375,0.0947180986404419,4.5,283
551.75,0.10844137519598007,1.375,284
292.5,0.02584986574947834,5.625,285
516.625,0.041594430804252625,2.0625,286
499.375,0.030281968414783478,2.15625,287
92.5,0.021089063957333565,6.8125,288
151.75,0.14736372232437134,6.5625,289
167.0,0.09532993286848068,9.46875,290
154.875,0.07944843173027039,4.5,291
218.0,0.10271526128053665,4.5,292
234.375,0.10752113163471222,7.9375,293
183.875,0.05293852463364601,8.9375,294
130.625,0.11421898007392883,6.4375,295
206.625,0.1586276888847351,4.5,296
266.0,0.06548520922660828,8.8125,297
191.875,0.049382321536540985,7.8125,298
196.0,0.11612328886985779,9.0625,299
292.25,0.16418848931789398,3.625,300
198.0,0.085373155772686,7.25,301
213.5,0.09814175963401794,8.0,302
183.875,0.13415226340293884,10.0,303
85.25,0.09250591695308685,10.0,304
234.5,0.15526387095451355,3.875,305
169.0,0.0883091539144516,5.25,306
488.0,0.15575286746025085,2.625,307
322.75,0.04567676782608032,5.21875,308
107.25,0.06194615736603737,9.1875,309
425.25,0.13383081555366516,4.5,310
174.75,0.04842201992869377,7.25,311
224.0,0.08199089765548706,4.5,312
117.25,0.05717131868004799,10.0,313
336.0,0.169145405292511,4.625,314
144.0,0.06146584823727608,10.0,315
194.5,0.13214683532714844,10.0,316
455.0,0.10554685443639755,3.5625,317
281.375,0.06909722834825516,4.5,318
116.0,0.08104218542575836,8.625,319
499.125,0.17393185198307037,4.75,320
191.875,0.04284268245100975,7.9375,321
143.125,0.10633980482816696,9.5,322
402.0,0.1794256865978241,4.09375,323
166.125,0.04565811529755592,7.4375,324
464.375,0.17917390167713165,5.625,325
302.25,0.05453905835747719,9.46875,326
310.875,0.05105124041438103,4.8125,327
533.625,0.07133708149194717,2.15625,328
270.625,0.06455979496240616,8.25,329
434.75,0.12081335484981537,4.625,330
193.375,0.06123556196689606,9.3125,331
333.625,0.14944708347320557,6.625,332
231.25,0.06909234076738358,7.4375,333
169.5,0.20085947215557098,4.5625,334
342.0,0.15520398318767548,3.625,335
292.0,0.09093603491783142,8.9375,336
522.0,0.07732687145471573,1.875,337
280.25,0.029098475351929665,5.75,338
351.25,0.15284523367881775,4.125,339
210.0,0.09831348806619644,10.0,340
246.375,0.07691717892885208,7.875,341
190.875,0.08900462090969086,8.625,342
398.625,0.15256527066230774,7.09375,343
169.5,0.12393800169229507,10.0,344
277.625,0.10794162005186081,5.75,345
161.375,0.08514317870140076,10.0,346
168.0,0.07618804275989532,10.0,347
632.5,0.11444482207298279,1.25,348
197.875,0.033822089433670044,10.0,349
588.625,0.05807390809059143,1.625,350
678.5,0.027719765901565552,0.5625,351
186.75,0.044599972665309906,8.09375,352
121.25,0.12419737875461578,5.1875,353
435.5,0.26444128155708313,5.0,354
418.375,0.06305670738220215,2.625,355
270.25,0.04535110294818878,4.8125,356
341.125,0.06572706252336502,5.5,357
525.875,0.07670576870441437,4.9375,358
129.0,0.06715382635593414,6.5625,359
683.875,0.1248447597026825,0.125,360
162.5,0.02834521420300007,9.3125,361
178.625,0.13469325006008148,10.0,362
186.125,0.15883684158325195,7.9375,363
128.25,0.15699343383312225,10.0,364
202.625,0.294206440448761,4.5,365
191.75,0.1353994607925415,9.3125,366
404.25,0.15181192755699158,3.25,367
382.125,0.08016271889209747,4.375,368
196.5,0.08404815196990967,10.0,369
227.625,0.058103688061237335,10.0,370
313.25,0.09626515954732895,5.6875,371
680.125,0.08383535593748093,1.4375,372
145.625,0.045137181878089905,9.3125,373
768.0,0.25015318393707275,-0.5,374
180.125,0.0228697769343853,9.3125,375
104.25,0.12129582464694977,10.0,376
264.0,0.21783651411533356,9.125,377
243.0,0.13231387734413147,7.9375,378
321.0,0.10877733677625656,10.0,379
199.0,0.057002387940883636,6.03125,380
127.625,0.2797081470489502,9.3125,381
121.0,0.16665039956569672,10.0,382
339.375,0.16029855608940125,10.0,383
251.875,0.04834014177322388,10.0,384
293.25,0.09581665694713593,10.0,385
374.25,0.0506402812898159,7.375,386
166.625,0.06586010009050369,10.0,387
145.625,0.15458464622497559,10.0,388
264.5,0.14090219140052795,7.9375,389
446.25,0.14381739497184753,4.5,390
136.0,0.05650288984179497,10.0,391
441.5,0.08874576538801193,3.0625,392
172.0,0.075772725045681,9.5625,393
108.625,0.17447970807552338,10.0,394
154.875,0.1949179321527481,10.0,395
711.875,0.21043139696121216,0.8125,396
220.0,0.03469553589820862,9.3125,397
377.75,0.12088707834482193,6.75,398
541.75,0.06412681937217712,3.0,399
636.0,0.0476946122944355,1.4375,400
582.625,0.03834827244281769,3.625,401
98.5,0.04172833636403084,10.0,402
285.125,0.1832340806722641,9.3125,403
531.0,0.09131330251693726,1.875,404
174.875,0.04234980419278145,6.5625,405
533.625,0.10784120857715607,2.1875,406
660.25,0.07580598443746567,0.5,407
212.375,0.05431998893618584,9.46875,408
123.25,0.06258901953697205,10.0,409
226.375,0.20408639311790466,8.4375,410
217.625,0.10905923694372177,9.46875,411
338.25,0.061949606984853745,6.9375,412
218.875,0.07563900202512741,8.625,413
292.625,0.12520205974578857,5.28125,414
237.0,0.10848762094974518,10.0,415
128.125,0.13146138191223145,9.3125,416
304.75,0.3053106963634491,7.03125,417
237.125,0.08948839455842972,8.625,418
198.25,0.09181594848632812,8.4375,419
279.25,0.11462841182947159,9.0,420
434.5,0.06132339686155319,5.0,421
148.875,0.06785401701927185,10.0,422
198.0,0.10405679792165756,7.8125,423
530.75,0.07048332691192627,3.0,424
221.875,0.09189305454492569,6.03125,425
233.375,0.1823127716779709,8.0,426
264.25,0.09986533224582672,5.1875,427
528.875,0.15830905735492706,3.125,428
230.625,0.046707309782505035,5.25,429
202.125,0.11136631667613983,5.1875,430
221.0,0.1837320625782013,4.5,431
262.625,0.07715712487697601,8.0,432
152.5,0.07910006493330002,7.25,433
190.125,0.16388115286827087,10.0,434
213.125,0.0991041511297226,4.5,435
382.125,0.18046849966049194,6.0,436
160.25,0.07746095210313797,10.0,437
374.0,0.12515060603618622,2.75,438
367.875,0.1157698705792427,5.28125,439
185.5,0.07082018256187439,9.3125,440
516.25,0.15368570387363434,1.625,441
341.75,0.041102971881628036,4.5625,442
341.75,0.10618384182453156,6.34375,443
170.75,0.11031346768140793,9.3125,444
334.625,0.1934272050857544,7.53125,445
313.75,0.09897060692310333,4.65625,446
375.375,0.07452242076396942,4.9375,447
250.875,0.11165747046470642,10.0,448
454.125,0.10116203874349594,6.5,449
197.5,0.060267526656389236,4.5,450
582.125,0.21178552508354187,4.0,451
357.5,0.058209821581840515,4.15625,452
455.125,0.10794281214475632,5.5,453
321.25,0.06378333270549774,5.75,454
171.875,0.08795306831598282,10.0,455
288.875,0.1797160655260086,4.8125,456
159.25,0.09247403591871262,8.625,457
200.25,0.14275699853897095,5.25,458
304.75,0.2092302292585373,6.625,459
180.625,0.11662143468856812,10.0,460
356.375,0.14074558019638062,4.03125,461
147.0,0.08838929235935211,6.6875,462
289.625,0.1287546157836914,7.25,463
398.125,0.07532667368650436,4.125,464
348.25,0.1304168999195099,4.90625,465
552.5,0.09780288487672806,1.0,466
253.875,0.07705660909414291,4.5,467
113.625,0.14631110429763794,4.5,468
768.0,0.14121735095977783,-0.5,469
230.75,0.014958873391151428,6.5625,470
142.5,0.10785053670406342,10.0,471
768.0,0.10561320930719376,-0.5,472
546.75,0.03484523296356201,5.0,473
281.0,0.05702514573931694,10.0,474
100.25,0.09581926465034485,9.3125,475
279.625,0.263931542634964,5.9375,476
440.375,0.19791251420974731,2.25,477
329.625,0.0810636430978775,6.28125,478
203.75,0.10857368260622025,9.3125,479
147.75,0.15569178760051727,10.0,480
173.375,0.2786020040512085,7.25,481
286.25,0.1958005279302597,5.875,482
487.75,0.08881634473800659,5.875,483
375.875,0.08367907255887985,4.125,484
246.25,0.09994355589151382,4.28125,485
346.125,0.1493394672870636,6.6875,486
297.5,0.10383336991071701,6.4375,487
297.625,0.18848241865634918,5.875,488
452.75,0.13030210137367249,2.625,489
113.625,0.08159414678812027,10.0,490
198.25,0.16359451413154602,7.9375,491
281.5,0.11719679087400436,5.4375,492
304.5,0.1729954481124878,6.625,493
350.25,0.0960419774055481,7.8125,494
244.0,0.12418597936630249,4.8125,495
154.625,0.18407002091407776,10.0,496
192.625,0.17520761489868164,6.125,497
188.0,0.23489251732826233,8.625,498
213.5,0.16589030623435974,9.3125,499
158.75,0.10720174759626389,10.0,500
114.5,0.1305811107158661,10.0,501
412.125,0.1914740800857544,6.6875,502
408.25,0.08241239190101624,7.375,503
313.125,0.06585779786109924,6.625,504
213.25,0.06782591342926025,7.9375,505
456.375,0.0848107635974884,5.375,506
262.75,0.055006157606840134,5.34375,507
101.375,0.15079917013645172,10.0,508
192.0,0.20735301077365875,9.6875,509
254.5,0.10766379535198212,7.3125,510
115.625,0.13523149490356445,10.0,511
291.875,0.1130426749587059,8.0,512
297.75,0.11392673850059509,8.3125,513
201.25,0.09838180989027023,10.0,514
117.125,0.08099488168954849,9.875,515
476.75,0.27607226371765137,3.125,516
638.375,0.10850144922733307,1.375,517
191.875,0.06000424921512604,10.0,518
183.75,0.06528161466121674,8.5,519
278.875,0.07749120891094208,5.875,520
259.25,0.11039826273918152,9.375,521
172.0,0.12642991542816162,10.0,522
261.125,0.1401866376399994,10.0,523
181.25,0.07600241899490356,9.6875,524
193.625,0.13157202303409576,6.5625,525
143.25,0.15346772968769073,8.625,526
177.75,0.11171701550483704,10.0,527
278.125,0.11140505224466324,8.625,528
195.375,0.10761652141809464,10.0,529
273.875,0.2095331996679306,4.875,530
284.5,0.11138758063316345,7.3125,531
314.25,0.09822346270084381,6.0,532
348.125,0.07877815514802933,7.375,533
222.125,0.09423084557056427,8.25,534
152.0,0.15592308342456818,10.0,535
676.0,0.24222494661808014,0.75,536
136.625,0.06565465778112411,10.0,537
766.75,0.2180621325969696,-0.5,538
394.375,0.053067319095134735,7.0,539
322.0,0.10147976130247116,9.125,540
356.625,0.08416382968425751,6.6875,541
261.25,0.12803062796592712,9.3125,542
444.375,0.0694790855050087,3.9375,543
240.375,0.10401077568531036,7.9375,544
253.875,0.24261388182640076,5.625,545
444.625,0.16804872453212738,3.5625,546
255.5,0.16370704770088196,4.8125,547
255.875,0.18227353692054749,10.0,548
266.0,0.06747766584157944,8.875,549
349.375,0.08058741688728333,5.875,550
210.875,0.08693411201238632,9.3125,551
241.5,0.16397732496261597,10.0,552
229.0,0.2034771591424942,4.5,553
115.25,0.195061594247818,10.0,554
117.125,0.21706551313400269,10.0,555
275.875,0.06992299854755402,9.3125,556
252.75,0.10794401913881302,5.625,557
128.5,0.09691721946001053,10.0,558
202.625,0.16835014522075653,9.1875,559
125.125,0.26545584201812744,10.0,560
158.875,0.23673735558986664,7.875,561
193.375,0.16087399423122406,7.9375,562
448.25,0.12489070743322372,7.9375,563
260.0,0.07516765594482422,8.125,564
312.375,0.0766783356666565,5.25,565
161.75,0.08900272846221924,8.25,566
291.5,0.15845687687397003,6.90625,567
390.125,0.17735634744167328,7.375,568
421.75,0.07972264289855957,5.3125,569
151.375,0.12084896117448807,10.0,570
229.25,0.19032907485961914,6.625,571
374.0,0.14530518651008606,3.875,572
114.125,0.10822632908821106,10.0,573
109.25,0.2333851158618927,10.0,574
150.625,0.26502561569213867,10.0,575
120.5,0.17049169540405273,10.0,576
312.875,0.23699498176574707,8.3125,577
360.5,0.08352106809616089,4.6875,578
267.375,0.12575538456439972,4.5,579
401.375,0.13812477886676788,6.4375,580
208.875,0.117238849401474,10.0,581
505.875,0.17622660100460052,3.71875,582
286.625,0.05736147612333298,9.3125,583
349.75,0.10971588641405106,6.75,584
118.625,0.16073304414749146,10.0,585
535.75,0.22229453921318054,2.6875,586
311.5,0.09386122226715088,10.0,587
175.25,0.09798631817102432,7.5625,588
188.375,0.17076949775218964,10.0,589
310.5,0.14969834685325623,7.9375,590
212.125,0.20916055142879486,8.625,591
282.75,0.2946615517139435,4.5,592
233.5,0.19299793243408203,5.875,593
242.0,0.2067645937204361,6.5625,594
435.5,0.1637040376663208,6.4375,595
255.375,0.09166575223207474,6.5625,596
227.5,0.16240733861923218,9.0625,597
202.75,0.12530244886875153,10.0,598
225.25,0.15902023017406464,10.0,599
160.75,0.173565074801445,4.5,600
186.875,0.26619935035705566,8.25,601
225.0,0.17703446745872498,10.0,602
257.5,0.10107914358377457,9.3125,603
359.25,0.07783303409814835,10.0,604
559.25,0.08249000459909439,2.6875,605
139.0,0.11388660222291946,10.0,606
184.875,0.2187003642320633,7.9375,607
209.375,0.1758846640586853,8.625,608
362.75,0.0949537381529808,5.59375,609
209.125,0.10424083471298218,9.3125,610
378.0,0.19022607803344727,5.875,611
347.5,0.1084175854921341,4.84375,612
364.0,0.10730718821287155,8.0,613
361.0,0.09534759819507599,8.625,614
237.5,0.1311095505952835,9.3125,615
391.75,0.09228405356407166,3.25,616
200.75,0.13440880179405212,6.5625,617
374.0,0.252702534198761,8.0,618
268.875,0.12242983281612396,8.78125,619
209.25,0.12176460027694702,10.0,620
768.0,0.15421004593372345,-0.5,621
248.375,0.058844681829214096,7.1875,622
230.0,0.1392243355512619,10.0,623
262.0,0.12517470121383667,8.6875,624
172.5,0.1457953155040741,8.96875,625
255.25,0.17933134734630585,6.25,626
274.125,0.168836310505867,4.5,627
300.125,0.20382922887802124,5.78125,628
382.75,0.14536167681217194,6.09375,629
457.875,0.11958438903093338,4.0625,630
338.375,0.06811119616031647,5.25,631
468.875,0.10387787222862244,3.25,632
324.0,0.13161060214042664,9.3125,633
431.25,0.09676355868577957,3.25,634
197.625,0.12355023622512817,9.3125,635
200.0,0.1807292252779007,7.25,636
504.625,0.15866719186306,6.5,637
326.375,0.06028284505009651,4.5,638
268.25,0.08222956955432892,4.5,639
275.375,0.17031562328338623,7.25,640
185.25,0.16562813520431519,6.5625,641
194.375,0.2205916941165924,8.28125,642
296.375,0.2513967752456665,6.5625,643
247.25,0.1820930689573288,9.3125,644
330.5,0.11955516040325165,5.1875,645
295.25,0.1351584941148758,5.71875,646
241.5,0.13938923180103302,10.0,647
217.0,0.15733946859836578,9.3125,648
500.125,0.09631241112947464,6.9375,649
517.25,0.08273714780807495,4.6875,650
184.625,0.08306194096803665,9.3125,651
141.75,0.1828555166721344,10.0,652
377.5,0.28144386410713196,7.4375,653
483.375,0.12349246442317963,2.875,654
270.125,0.11674822121858597,8.3125,655
313.75,0.10832522809505463,10.0,656
237.25,0.15329933166503906,5.1875,657
532.125,0.24602557718753815,4.0625,658
387.625,0.11777784675359726,5.21875,659
205.625,0.15103678405284882,10.0,660
354.625,0.16983662545681,10.0,661
248.375,0.1284121721982956,7.25,662
333.25,0.21115586161613464,4.5,663
228.875,0.12906573712825775,5.25,664
603.5,0.12792626023292542,2.0625,665
427.625,0.09770138561725616,4.1875,666
221.625,0.12421898543834686,9.3125,667
527.0,0.16014932096004486,3.25,668
207.75,0.0954364538192749,6.875,669
306.625,0.23793531954288483,4.5,670
275.625,0.10431498289108276,5.0,671
353.125,0.23963135480880737,9.375,672
186.625,0.09890595078468323,10.0,673
269.875,0.15574957430362701,9.3125,674
394.25,0.13172468543052673,4.0,675
316.5,0.17113162577152252,8.25,676
194.0,0.1859869807958603,10.0,677
256.125,0.19117136299610138,8.8125,678
280.0,0.14066031575202942,4.5,679
302.375,0.1776995211839676,7.9375,680
194.625,0.20334501564502716,8.9375,681
174.125,0.22731994092464447,8.09375,682
254.375,0.2054351270198822,9.46875,683
586.625,0.132259801030159,4.6875,684
121.875,0.06885554641485214,10.0,685
230.625,0.2796749472618103,9.3125,686
223.375,0.152399942278862,9.375,687
481.625,0.20795150101184845,8.0,688
504.75,0.10792341828346252,3.3125,689
181.75,0.15744909644126892,10.0,690
156.375,0.13676518201828003,10.0,691
322.75,0.1441114991903305,9.125,692
164.375,0.106513611972332,9.3125,693
241.625,0.3505808413028717,4.65625,694
152.375,0.2024564892053604,10.0,695
128.5,0.13680067658424377,8.9375,696
544.5,0.18670693039894104,2.0,697
242.5,0.1359153538942337,4.6875,698
269.75,0.20104362070560455,5.8125,699
287.25,0.16247358918190002,6.5625,700
403.125,0.21386462450027466,4.5625,701
438.0,0.1579025685787201,3.71875,702
221.0,0.13910456001758575,5.8125,703
115.25,0.33143559098243713,4.5,704
198.25,0.16395987570285797,9.3125,705
597.75,0.22704319655895233,2.9375,706
465.875,0.1662510484457016,3.5625,707
233.0,0.14651644229888916,6.4375,708
256.375,0.26193416118621826,8.625,709
