actor/train/kl,_step,completions/train/mean_length,rewards/train/score/mean
,0,242.75,1.0
0.00026887134299613535,1,132.75,1.0
0.004764794372022152,2,441.75,-1.125
0.000945425359532237,3,142.0,0.25
0.006113915704190731,4,105.75,2.625
-0.0068031069822609425,5,86.75,-1.0
-0.0025346025358885527,6,550.0,-1.625
0.0027798842638731003,7,164.5,0.75
-0.00016190433234442025,8,114.5,0.625
-0.00463928421959281,9,126.0,1.0
-0.005665525794029236,10,168.0,0.25
0.0053064594976603985,11,768.0,-2.0
-0.0023446492850780487,12,233.25,-0.75
0.0019954137969762087,13,237.0,0.125
-0.0010345636401325464,14,99.25,1.0
0.001759694772772491,15,459.5,-0.75
0.002026424976065755,16,169.25,-0.125
0.0014905943535268307,17,368.0,1.0
0.002772585256025195,18,203.75,-0.375
0.003775066463276744,19,191.0,0.875
-0.010012219659984112,20,71.0,0.375
-0.014953372068703175,21,200.0,1.0
0.003506624838337302,22,335.5,0.625
-3.212930096196942e-05,23,401.75,0.125
-0.0013500005006790161,24,136.0,1.0
-0.0008509650360792875,25,230.5,1.0
-0.0019045392982661724,26,92.0,-0.75
0.0012042211601510644,27,222.75,-0.5
-0.0015487286727875471,28,768.0,-2.5
-0.0014214292168617249,29,685.0,-2.5
0.002134049544110894,30,293.0,-0.125
0.0001046031029545702,31,155.0,-1.0
-0.0017592677613720298,32,487.5,-1.125
-0.0026393127627670765,33,304.75,-1.0
0.0009313165792264044,34,353.5,-1.0
0.0009326800354756415,35,302.0,1.0
0.0004366565262898803,36,193.25,1.0
0.00038048275746405125,37,126.0,2.625
-0.0019519595662131906,38,395.75,-0.25
-1.5123840057640336e-05,39,160.5,1.5
0.0030761107336729765,40,615.75,-0.75
0.0026370021514594555,41,249.0,0.25
6.769363972125575e-05,42,195.0,-0.375
-0.0006557489396072924,43,768.0,-1.0
-0.00023324787616729736,44,449.0,-1.75
-0.0019962231162935495,45,159.5,-0.5
-0.0073420279659330845,46,227.25,1.0
0.00047892285510897636,47,226.5,-0.75
-0.0003532636910676956,48,161.75,5.25
0.01635221391916275,49,406.5,1.5
-0.0013901403872296214,50,190.0,0.625
-0.0024291365407407284,51,306.25,3.25
0.0021264771930873394,52,155.5,0.75
0.002168667735531926,53,131.5,0.5
-0.0020839343778789043,54,167.5,4.25
0.00037041850737296045,55,163.5,-0.5
-0.0008647493086755276,56,96.0,1.0
0.00998211931437254,57,106.75,1.0
0.024370351806282997,58,253.5,2.125
0.0007691693608649075,59,497.75,-1.5
0.0027280671056360006,60,301.5,-0.25
-0.001698788139037788,61,105.0,1.0
0.003581819124519825,62,136.0,1.0
-0.00014707271475344896,63,119.5,1.0
0.015972109511494637,64,108.0,1.0
0.008283738978207111,65,365.75,2.125
0.002233622595667839,66,450.0,-1.125
-0.00035308097722008824,67,105.5,-0.375
0.016840655356645584,68,167.0,0.25
-0.0030540877487510443,69,212.75,0.75
-0.0011286482913419604,70,423.0,1.375
0.0037841685116291046,71,768.0,-2.0
0.0006447111954912543,72,92.75,1.75
0.008269564248621464,73,186.25,8.625
0.007157253101468086,74,179.25,4.6875
0.002406531246379018,75,88.25,-1.25
0.0014227848732843995,76,255.0,-1.0
0.0035892582964152098,77,120.0,5.25
0.009072904475033283,78,149.75,5.25
0.013280398212373257,79,330.5,1.125
0.010338669642806053,80,280.5,4.5
0.023797592148184776,81,165.5,0.625
0.0015991533873602748,82,238.5,0.625
-0.005099704023450613,83,100.75,-0.25
0.0012556222500279546,84,410.75,0.875
0.00506226159632206,85,132.25,3.0
0.0030208725947886705,86,72.5,-0.75
0.0659988597035408,87,145.0,1.25
0.0015687154373154044,88,83.5,1.0
0.004067232832312584,89,219.25,3.5625
0.011703682132065296,90,148.75,1.0
0.006398375611752272,91,349.75,2.125
0.022140629589557648,92,155.75,10.0
0.040651872754096985,93,121.0,4.875
0.04164472967386246,94,201.5,3.5
0.013552885502576828,95,173.5,10.0
0.030948322266340256,96,612.75,0.0
0.00893418025225401,97,400.25,3.25
0.009821516461670399,98,390.75,2.5
0.009728867560625076,99,167.5,4.75
0.018937718123197556,100,175.75,4.5
0.01878329925239086,101,269.5,3.0
0.003027401166036725,102,186.25,3.5
0.03230617567896843,103,191.25,4.875
0.03299892321228981,104,146.0,10.0
0.035494912415742874,105,183.25,3.6875
0.007561434991657734,106,117.0,4.5
0.03425842896103859,107,228.75,8.25
0.022806385532021523,108,196.25,4.875
0.0397886298596859,109,220.25,3.5
0.016610825434327126,110,143.25,7.625
0.03786260262131691,111,214.25,2.75
0.021993666887283325,112,444.0,2.625
0.012510660104453564,113,90.25,9.0
0.11400968581438065,114,172.75,9.25
0.02865114063024521,115,148.5,8.25
0.011563918553292751,116,216.75,3.5
0.01029905118048191,117,341.25,3.0
0.009680506773293018,118,213.0,3.625
0.024768291041254997,119,170.75,4.375
0.01995163783431053,120,118.25,9.0
0.04622400179505348,121,154.0,9.0
0.049710724502801895,122,222.25,1.5
0.008489293977618217,123,165.0,3.8125
0.023931030184030533,124,298.25,4.625
0.022858258336782455,125,328.25,1.0
0.01333199255168438,126,84.75,2.875
0.022201426327228546,127,190.75,2.25
0.004486518912017345,128,180.5,6.125
0.03008166328072548,129,313.5,-0.75
0.004858999978750944,130,305.5,3.5
0.00211972463876009,131,200.0,1.625
0.027634410187602043,132,102.25,2.5
0.0392477810382843,133,231.0,4.875
0.018550515174865723,134,273.0,2.25
0.03531451150774956,135,311.25,3.9375
0.053803667426109314,136,304.75,1.5
0.032241325825452805,137,308.5,1.25
0.005928684491664171,138,212.5,4.5
0.022608835250139236,139,285.0,4.875
0.008713350631296635,140,137.5,9.0
0.03503132611513138,141,325.25,2.375
0.008978304453194141,142,200.25,4.75
0.01074243150651455,143,176.75,5.5
0.06382130831480026,144,134.25,10.0
0.04427434131503105,145,114.5,10.0
0.04223356395959854,146,133.25,10.0
0.05436411499977112,147,322.25,1.75
0.03300048038363457,148,161.75,5.625
0.029627136886119843,149,185.5,8.625
0.0743912011384964,150,128.75,4.5
0.057788629084825516,151,193.0,7.0
0.0035163084976375103,152,131.75,6.75
0.08685877174139023,153,279.0,6.625
0.0834277868270874,154,451.25,2.875
0.01981358788907528,155,250.5,1.75
0.024857107549905777,156,174.75,9.25
0.03431757539510727,157,500.0,1.75
0.027959508821368217,158,235.5,9.0
0.011787337251007557,159,128.75,10.0
0.10897734761238098,160,227.25,2.75
0.0273617971688509,161,180.75,4.625
0.04998046159744263,162,241.5,4.0625
0.0680839791893959,163,99.5,1.625
0.022724831476807594,164,126.5,4.5
0.045368824154138565,165,209.0,7.625
0.03125312924385071,166,172.0,7.625
0.027743391692638397,167,147.25,7.25
0.07147634774446487,168,217.5,7.875
0.0432683601975441,169,197.5,2.625
0.03144272044301033,170,206.5,5.125
0.037918638437986374,171,162.0,4.5
0.05377216264605522,172,117.75,10.0
0.12141863256692886,173,215.75,4.125
0.042445067316293716,174,217.25,4.5
0.06625311076641083,175,110.0,4.5
0.11856527626514435,176,199.25,8.25
0.04251573234796524,177,499.0,2.0
0.0075052413158118725,178,285.0,6.3125
0.037556469440460205,179,126.0,10.0
0.10952505469322205,180,312.75,6.375
0.05901295319199562,181,277.25,1.25
0.023528948426246643,182,384.0,3.625
0.006687262561172247,183,112.25,10.0
0.06509941816329956,184,129.5,-0.75
0.002989073283970356,185,115.0,10.0
0.0183340422809124,186,228.0,9.0
